lei,activity_year,action_taken,denial_reason_1,denial_reason_2,denial_reason_3,denial_reason_4,loan_purpose,occupancy_type,lien_status,loan_type,county_code,aus_1,construction_method,total_units,submission_of_application,initially_payable_to_institution,conforming_loan_limit,amortization,interest_only_payment,balloon_payment,negative_amortization,has_co_applicant,loan_amount,income,property_value,combined_loan_to_value_ratio,debt_to_income_ratio,open_end_line_of_credit,reverse_mortgage,business_or_commercial_purpose
549300EXAMPLE000001,2024,1,,,,,1,1,1,1,12011,1,1,1,1,1,C,1,2,2,2,0,345000,87000,415000,82.471,40,2,2,2
549300EXAMPLE000001,2024,1,,,,,1,1,1,1,12011,1,1,1,1,1,C,1,2,2,2,0,145000,59000,195000,73.9,36,2,2,2
549300EXAMPLE000001,2024,1,,,,,1,1,1,1,12086,1,1,1,1,1,C,1,2,2,2,0,305000,153000,,,,2,2,2
549300EXAMPLE000001,2024,1,,,,,1,1,1,2,12086,1,1,1,2,1,C,1,2,2,2,0,255000,90000,295000,87.915,46,2,2,2
549300EXAMPLE000001,2024,1,,,,,1,1,1,1,12086,2,1,1,1,1,C,1,2,2,2,1,145000,73000,175000,81.847,41,2,2,2
549300EXAMPLE000001,2024,1,,,,,1,1,1,1,12086,2,1,1,2,1,C,1,2,2,2,0,395000,133000,485000,81.605,41,2,2,2
549300EXAMPLE000001,2024,1,,,,,31,1,1,1,12011,1,1,1,2,1,C,1,2,2,2,1,95000,101000,125000,74.731,48,2,2,2
549300EXAMPLE000001,2024,3,2,,,,32,1,1,1,12086,2,1,1,1,1,C,1,2,2,2,1,205000,76000,225000,90.308,,2,2,2
549300EXAMPLE000001,2024,1,,,,,1,1,1,1,12011,3,1,1,1,1,C,1,2,2,2,0,275000,34000,365000,75.337,42,2,2,2
549300EXAMPLE000001,2024,3,6,,,,31,1,1,1,12099,1,1,1,1,1,C,1,2,2,2,0,195000,100000,215000,87.237,,2,2,2
549300EXAMPLE000001,2024,1,,,,,1,1,1,1,12086,1,1,1,1,1,C,1,2,2,2,1,185000,64000,215000,88.987,42,2,2,2
549300EXAMPLE000001,2024,1,,,,,1,1,1,1,12086,1,1,1,1,1,C,1,2,2,2,0,385000,110000,415000,92.679,,2,2,2
549300EXAMPLE000001,2024,3,4,,,,1,1,1,1,12011,1,1,1,1,1,C,1,2,2,2,1,205000,56000,225000,93.778,,2,2,2
549300EXAMPLE000001,2024,3,3,3,,,31,1,1,1,12086,1,1,1,1,1,C,1,2,2,2,0,245000,74000,275000,91.384,,2,2,2
549300EXAMPLE000001,2024,1,,,,,1,1,1,1,12011,2,1,1,1,1,C,1,2,2,2,0,145000,66000,155000,95.753,,2,2,2
549300EXAMPLE000001,2024,1,,,,,1,1,1,1,12086,1,1,1,1,1,C,1,2,2,2,0,405000,89000,445000,92.049,,2,2,2
549300EXAMPLE000001,2024,1,,,,,1,1,1,1,12086,1,1,1,1,1,C,1,2,2,2,0,295000,82000,,,,2,2,2
549300EXAMPLE000001,2024,1,,,,,32,1,1,1,12011,1,1,1,1,1,C,1,2,2,2,0,345000,35000,385000,88.43,44,2,2,2
549300EXAMPLE000001,2024,2,,,,,1,1,1,1,12086,1,1,1,1,1,C,1,2,2,2,1,185000,56000,305000,62.581,42,2,2,2
549300EXAMPLE000001,2024,2,,,,,1,1,1,1,12011,1,1,1,1,1,C,1,2,2,2,0,175000,63000,265000,65.229,47,2,2,2
549300EXAMPLE000001,2024,1,,,,,1,1,1,1,12011,1,1,1,1,1,C,1,2,2,2,0,275000,79000,315000,86.571,43,2,2,2
549300EXAMPLE000001,2024,1,,,,,1,1,1,1,12099,2,1,1,2,1,C,1,2,2,2,1,115000,68000,145000,76.474,,2,2,2
549300EXAMPLE000001,2024,3,6,,,,1,1,1,1,12011,1,1,1,1,1,C,1,2,2,2,0,245000,109000,295000,82.988,,2,2,2
549300EXAMPLE000001,2024,1,,,,,1,1,1,1,12086,1,1,1,1,1,C,1,2,2,2,1,335000,99000,455000,75.263,45,2,2,2
549300EXAMPLE000001,2024,1,,,,,1,1,1,1,12086,1,1,1,1,1,C,1,2,2,2,0,265000,66000,275000,97.0,45,2,2,2
549300EXAMPLE000001,2024,3,3,,,,31,1,1,1,12086,1,1,1,1,1,C,1,2,2,2,1,185000,49000,235000,80.638,42,2,2,2
549300EXAMPLE000001,2024,1,,,,,31,1,1,1,12011,1,1,1,1,1,C,1,2,2,2,0,415000,62000,425000,97.0,,2,2,2
549300EXAMPLE000001,2024,1,,,,,1,1,1,1,12011,1,1,1,1,1,C,1,2,2,2,0,615000,52000,635000,97.0,48,2,2,2
549300EXAMPLE000001,2024,2,,,,,1,1,1,1,12011,1,1,1,1,1,C,1,2,2,2,1,165000,37000,205000,82.642,,2,2,2
549300EXAMPLE000001,2024,3,1,,,,32,1,1,1,12011,1,1,1,1,1,C,1,2,2,2,0,295000,45000,365000,80.834,46,2,2,2
549300EXAMPLE000001,2024,1,,,,,1,1,1,1,12086,1,1,1,1,1,C,1,2,2,2,1,85000,164000,115000,79.613,,2,2,2
549300EXAMPLE000001,2024,3,6,,,,1,1,1,1,12086,2,1,1,1,1,C,1,2,2,2,0,365000,68000,425000,85.376,46,2,2,2
549300EXAMPLE000001,2024,1,,,,,1,1,1,1,12086,1,1,1,1,1,C,1,2,2,2,0,345000,226000,355000,97.0,37,2,2,2
549300EXAMPLE000001,2024,3,1,,,,1,1,1,2,12086,1,1,1,1,1,C,1,2,2,2,1,355000,98000,405000,86.725,48,2,2,2
549300EXAMPLE000001,2024,1,,,,,1,1,1,2,12099,1,1,1,1,1,C,1,2,2,2,0,195000,81000,,,,2,2,2
549300EXAMPLE000001,2024,3,1,,,,1,1,1,1,12099,1,1,1,1,1,C,1,2,2,2,0,265000,96000,305000,86.235,,2,2,2
549300EXAMPLE000001,2024,1,,,,,1,1,1,1,12011,1,1,1,1,1,C,1,2,2,2,1,405000,49000,435000,93.764,46,2,2,2
549300EXAMPLE000001,2024,1,,,,,1,1,1,1,12086,1,1,1,1,1,C,1,2,2,2,0,155000,191000,205000,74.391,43,2,2,2
549300EXAMPLE000001,2024,3,4,,,,1,1,1,1,12011,1,1,1,1,1,C,1,2,2,2,0,295000,41000,305000,97.0,36,2,2,2
549300EXAMPLE000001,2024,2,,,,,1,1,1,1,12086,1,1,1,1,1,C,1,2,2,2,0,235000,203000,295000,77.831,43,2,2,2
549300EXAMPLE000001,2024,1,,,,,31,1,1,1,12086,1,1,1,2,1,C,1,2,2,2,0,245000,132000,255000,97.0,,2,2,2
549300EXAMPLE000001,2024,3,4,9,,,1,1,1,1,12086,1,1,1,1,1,C,1,2,2,2,0,325000,57000,335000,97.0,44,2,2,2
549300EXAMPLE000001,2024,2,,,,,32,1,1,1,12011,1,1,1,1,1,C,1,2,2,2,0,385000,101000,465000,83.495,37,2,2,2
549300EXAMPLE000001,2024,1,,,,,1,1,1,1,12011,2,1,1,1,1,C,1,2,2,2,0,205000,56000,255000,79.916,40,2,2,2
549300EXAMPLE000001,2024,1,,,,,1,1,1,1,12099,1,1,1,1,1,C,1,2,2,2,1,425000,113000,485000,87.752,46,2,2,2
549300EXAMPLE000001,2024,1,,,,,1,1,1,1,12086,1,1,1,1,1,C,1,2,2,2,0,305000,119000,355000,85.927,,2,2,2
549300EXAMPLE000001,2024,1,,,,,1,1,1,1,12086,1,1,1,1,1,C,1,2,2,2,1,305000,165000,415000,74.117,,2,2,2
549300EXAMPLE000001,2024,1,,,,,31,1,1,1,12086,1,1,1,1,1,C,1,2,2,2,0,275000,89000,375000,74.589,,2,2,2
549300EXAMPLE000001,2024,1,,,,,1,1,1,1,12086,1,1,1,1,1,C,1,2,2,2,0,245000,123000,255000,97.0,,2,2,2
549300EXAMPLE000001,2024,1,,,,,1,1,1,1,12011,1,1,1,1,1,C,1,2,2,2,0,345000,75000,355000,96.091,,2,2,2
549300EXAMPLE000001,2024,2,,,,,31,1,1,1,12086,1,1,1,1,1,C,1,2,2,2,1,195000,114000,215000,89.56,,2,2,2
549300EXAMPLE000001,2024,1,,,,,32,1,1,1,12086,3,1,1,1,1,C,1,2,2,2,1,275000,96000,375000,74.879,40,2,2,2
549300EXAMPLE000001,2024,1,,,,,31,1,1,1,12086,3,1,1,1,1,C,1,2,2,2,0,285000,109000,305000,94.44,38,2,2,2
549300EXAMPLE000001,2024,1,,,,,1,1,1,2,12086,1,1,1,1,1,C,1,2,2,2,0,145000,43000,185000,77.123,45,2,2,2
549300EXAMPLE000001,2024,1,,,,,32,1,1,1,12086,1,1,1,1,1,C,1,2,2,2,1,195000,46000,205000,97.0,,2,2,2
549300EXAMPLE000001,2024,1,,,,,1,1,1,1,12086,2,1,1,1,1,C,1,2,2,2,1,255000,85000,375000,68.781,,2,2,2
549300EXAMPLE000001,2024,3,,,,,1,1,1,1,12086,1,1,1,1,1,C,1,2,2,2,0,195000,132000,,,,2,2,2
549300EXAMPLE000001,2024,1,,,,,1,1,1,2,12011,1,1,1,2,1,C,1,2,2,2,0,195000,91000,,,,2,2,2
549300EXAMPLE000001,2024,1,,,,,1,1,1,1,12011,1,1,1,1,1,C,1,2,2,2,1,585000,89000,595000,97.0,47,2,2,2
549300EXAMPLE000001,2024,1,,,,,32,1,1,1,12086,1,1,1,1,1,C,1,2,2,2,0,165000,117000,195000,82.579,,2,2,2
549300EXAMPLE000001,2024,1,,,,,32,1,1,2,12086,1,1,1,2,1,C,1,2,2,2,1,205000,76000,315000,64.95,36,2,2,2
549300EXAMPLE000001,2024,1,,,,,1,1,1,1,12086,1,1,1,1,1,C,1,2,2,2,0,175000,94000,175000,96.624,,2,2,2
549300EXAMPLE000001,2024,1,,,,,1,1,1,1,12086,2,1,1,1,1,C,1,2,2,2,0,165000,82000,165000,97.0,,2,2,2
549300EXAMPLE000001,2024,1,,,,,1,1,1,2,12086,1,1,1,1,1,C,1,2,2,2,1,235000,93000,335000,71.78,43,2,2,2
549300EXAMPLE000001,2024,1,,,,,31,1,1,1,12086,1,1,1,1,1,C,1,2,2,2,1,255000,127000,305000,82.027,,2,2,2
549300EXAMPLE000001,2024,1,,,,,1,1,1,1,12086,1,1,1,1,1,C,1,2,2,2,0,235000,65000,285000,81.597,37,2,2,2
549300EXAMPLE000001,2024,1,,,,,1,1,1,1,12086,3,1,1,1,1,C,1,2,2,2,1,265000,64000,315000,82.702,40,2,2,2
549300EXAMPLE000001,2024,1,,,,,1,1,1,1,12086,3,1,1,1,1,C,1,2,2,2,0,135000,89000,,,,2,2,2
549300EXAMPLE000001,2024,1,,,,,31,1,1,1,12099,2,1,1,1,1,C,1,2,2,2,0,175000,58000,215000,82.41,46,2,2,2
549300EXAMPLE000001,2024,1,,,,,1,1,1,1,12086,3,1,1,1,1,C,1,2,2,2,0,195000,113000,215000,91.984,,2,2,2
549300EXAMPLE000001,2024,3,4,,,,32,1,1,1,12086,1,1,1,1,1,C,1,2,2,2,1,135000,101000,145000,92.822,42,2,2,2
549300EXAMPLE000001,2024,3,1,,,,31,1,1,1,12086,3,1,1,1,1,C,1,2,2,2,1,325000,79000,415000,78.908,,2,2,2
549300EXAMPLE000001,2024,1,,,,,1,1,1,2,12011,1,1,1,1,1,C,1,2,2,2,0,195000,95000,265000,71.616,44,2,2,2
549300EXAMPLE000001,2024,1,,,,,1,1,1,2,12099,1,1,1,2,1,C,1,2,2,2,0,425000,69000,455000,92.975,,2,2,2
549300EXAMPLE000001,2024,1,,,,,1,1,1,1,12011,1,1,1,1,1,C,1,2,2,2,1,105000,88000,115000,86.384,,2,2,2
549300EXAMPLE000001,2024,1,,,,,31,1,1,1,12086,1,1,1,1,1,C,1,2,2,2,0,145000,83000,155000,97.0,37,2,2,2
549300EXAMPLE000001,2024,1,,,,,1,1,1,1,12086,1,1,1,1,1,C,1,2,2,2,1,145000,203000,,,,2,2,2
549300EXAMPLE000001,2024,1,,,,,1,1,1,1,12099,1,1,1,2,1,C,1,2,2,2,0,165000,69000,235000,73.219,,2,2,2
549300EXAMPLE000001,2024,1,,,,,32,1,1,1,12086,1,1,1,1,1,C,1,2,2,2,0,175000,86000,185000,91.088,,2,2,2
549300EXAMPLE000001,2024,1,,,,,32,1,1,1,12086,2,1,1,2,1,C,1,2,2,2,1,145000,134000,175000,79.622,41,2,2,2
549300EXAMPLE000001,2024,1,,,,,1,1,1,1,12086,1,1,1,1,1,C,1,2,2,2,0,255000,89000,265000,97.0,36,2,2,2
549300EXAMPLE000001,2024,3,6,,,,1,1,1,1,12086,2,1,1,1,1,C,1,2,2,2,1,145000,97000,155000,93.754,46,2,2,2
549300EXAMPLE000001,2024,1,,,,,1,1,1,1,12011,2,1,1,1,1,C,1,2,2,2,1,185000,45000,215000,84.116,36,2,2,2
549300EXAMPLE000001,2024,2,,,,,1,1,1,1,12086,2,1,1,1,1,C,1,2,2,2,1,185000,164000,225000,80.416,,2,2,2
549300EXAMPLE000001,2024,2,,,,,1,1,1,2,12086,1,1,1,1,1,C,1,2,2,2,0,195000,103000,,,,2,2,2
549300EXAMPLE000001,2024,1,,,,,1,1,1,1,12086,1,1,1,1,1,C,1,2,2,2,0,285000,119000,,,,2,2,2
549300EXAMPLE000001,2024,1,,,,,1,1,1,1,12086,2,1,1,1,1,C,1,2,2,2,0,185000,157000,215000,84.37,42,2,2,2
549300EXAMPLE000001,2024,1,,,,,1,1,1,1,12086,1,1,1,1,1,C,1,2,2,2,0,185000,107000,255000,71.765,40,2,2,2
549300EXAMPLE000001,2024,1,,,,,1,1,1,1,12086,3,1,1,2,1,C,1,2,2,2,0,365000,80000,425000,84.585,,2,2,2
549300EXAMPLE000001,2024,1,,,,,31,1,1,1,12086,3,1,1,1,1,C,1,2,2,2,0,65000,75000,115000,51.675,,2,2,2
549300EXAMPLE000001,2024,1,,,,,1,1,1,1,12086,1,1,1,1,1,C,1,2,2,2,1,565000,100000,645000,87.48,47,2,2,2
549300EXAMPLE000001,2024,1,,,,,31,1,1,1,12086,1,1,1,1,1,C,1,2,2,2,0,555000,35000,575000,97.0,45,2,2,2
549300EXAMPLE000001,2024,1,,,,,1,1,1,1,12086,3,1,1,2,1,C,1,2,2,2,0,155000,130000,195000,81.308,44,2,2,2
549300EXAMPLE000001,2024,1,,,,,31,1,1,2,12011,1,1,1,1,1,C,1,2,2,2,1,175000,110000,195000,92.987,37,2,2,2
549300EXAMPLE000001,2024,1,,,,,1,1,1,1,12086,3,1,1,1,1,C,1,2,2,2,1,375000,78000,385000,96.936,41,2,2,2
549300EXAMPLE000001,2024,1,,,,,1,1,1,1,12086,2,1,1,2,1,C,1,2,2,2,1,255000,74000,,,,2,2,2
549300EXAMPLE000001,2024,1,,,,,1,1,1,1,12011,2,1,1,2,1,C,1,2,2,2,1,515000,69000,535000,97.0,43,2,2,2
549300EXAMPLE000001,2024,1,,,,,1,1,1,1,12099,1,1,1,1,1,C,1,2,2,2,0,225000,108000,245000,90.607,41,2,2,2
549300EXAMPLE000001,2024,3,3,9,,,32,1,1,1,12086,3,1,1,1,1,C,1,2,2,2,0,265000,196000,315000,84.229,39,2,2,2
549300EXAMPLE000001,2024,1,,,,,1,1,1,1,12086,1,1,1,2,1,C,1,2,2,2,1,345000,62000,375000,91.66,,2,2,2
549300EXAMPLE000001,2024,1,,,,,1,1,1,1,12086,1,1,1,2,1,C,1,2,2,2,0,175000,66000,205000,83.241,48,2,2,2
549300EXAMPLE000001,2024,1,,,,,31,1,1,1,12086,1,1,1,1,1,C,1,2,2,2,1,595000,96000,645000,91.952,39,2,2,2
549300EXAMPLE000001,2024,3,3,,,,31,1,1,1,12011,1,1,1,1,1,C,1,2,2,2,0,265000,60000,275000,96.518,39,2,2,2
549300EXAMPLE000001,2024,1,,,,,1,1,1,1,12011,3,1,1,1,1,C,1,2,2,2,1,305000,38000,,,,2,2,2
549300EXAMPLE000001,2024,1,,,,,1,1,1,1,12011,1,1,1,1,1,C,1,2,2,2,1,295000,106000,365000,81.26,41,2,2,2
549300EXAMPLE000001,2024,1,,,,,31,1,1,1,12086,3,1,1,1,1,C,1,2,2,2,0,115000,105000,,,,2,2,2
549300EXAMPLE000001,2024,1,,,,,1,1,1,2,12086,1,1,1,1,1,C,1,2,2,2,1,145000,123000,195000,71.877,37,2,2,2
549300EXAMPLE000001,2024,1,,,,,1,1,1,1,12086,1,1,1,1,1,C,1,2,2,2,0,145000,53000,,,,2,2,2
549300EXAMPLE000001,2024,1,,,,,1,1,1,1,12086,2,1,1,1,1,C,1,2,2,2,0,115000,169000,135000,85.381,39,2,2,2
